Signal_0,Signal_1,logB (1d),logB (4d),logB (8d)
3_1,4_0,-5.578398548465918,-14.356158764959694,-15.523706790730753
4_0,5_1,0.0029088022324471443,-8.909171673791569,-15.530210944649443
5_1,9_0,-5.064109376109133,-10.624835484247976,-15.540519607857048
6_1,8_0,-7.782742042469062,-34.798930517089765,-15.687763828154047
4_0,7_0,-16.685272164987712,-6.631142860685364,-15.714168383987653
4_1,7_0,-9.251000294717107,-10.00823777445587,-15.808778881659517
4_1,6_1,-297.5970685034269,-46.70883533231789,-16.975270705983633
2_1,4_1,-7.593356124763437,-15.685776596299958,-18.336759340946788
4_1,5_1,0.2787671203460119,-2.803757750390985,-18.62536221522205
0_1,9_1,-245.29097152061107,-296.9865658582006,-19.02258957710197
0_1,4_0,-5.086229255283693,-18.46656631873865,-19.121773495102826
4_0,9_1,-297.56267994391095,-296.52229128685747,-19.459415966866427
2_1,4_0,-7.165112910026436,-10.039855468136752,-19.806594418111015
1_0,4_0,-3.2584697920853425,-7.48944738114621,-19.908388328399305
2_0,4_1,-22.055338191427264,-21.860697455550692,-20.646490065202627
0_1,8_0,-1.904339390661501,-31.11950872124652,-20.751639634179085
5_0,6_0,-297.6319727502177,-15.149504447283723,-21.062771975383058
2_0,4_0,-13.277959511691106,-16.904063172694226,-21.165900945937516
0_1,5_1,-3.8831470186034176,-43.90187895335382,-21.822333999416095
1_0,9_0,-298.0294882967087,-18.2383536721079,-22.479032768248366
5_0,6_1,-35.528863444889666,-20.10825164606961,-24.675919438417893
0_0,6_1,-248.0289409517518,-22.59594733120987,-24.714098829141044
6_1,8_1,-5.925772002602409,-8.550192313698858,-24.71413534577536
0_1,6_1,-4.761759939630827,-56.06175093663077,-24.957542578087658
1_1,9_1,-21.429694236212537,-296.9978192365484,-25.581086104586703
7_0,8_1,-3.989733655872626,-10.984530536764511,-25.60757506275198
7_0,8_0,-4.863563364763089,-6.972300009216909,-25.72386342651493
6_0,8_0,-8.034113327597913,-12.40065390187075,-27.30269863470196
3_0,5_1,-7.709757548732441,-34.630937505502494,-29.07785328096316
4_0,6_1,-297.5674492302327,-56.70331296881952,-29.081671872380827
3_1,6_1,-118.4612181939983,-28.566628041549798,-30.281785710634384
6_1,9_1,-4.875176096397782,-10.970674384860043,-31.057098203874837
1_0,5_1,-3.732520317906093,-11.428448321839396,-31.524059522373577
0_0,2_1,-6.077983110772785,-7.816408742227549,-32.50044607528869
7_0,9_0,-10.271800935937627,-6.199405288086698,-37.15915709529431
1_0,2_0,-11.051662000319807,-23.368441005250894,-37.55035183464885
2_0,5_1,-6.594120369642828,-17.699081942145295,-37.85857336101834
4_1,9_0,-297.59304149082965,-6.8925375311112775,-40.77886188038069
0_0,2_0,-2.7220649165466355,-23.369028312721444,-42.487422335413214
0_1,3_0,-2.745623830001814,-12.871895519941477,-46.852650284191796
0_1,6_0,-298.0347199703192,-27.340071291139147,-47.62766759584754
3_1,5_1,-4.7875628105171195,-52.38317984258923,-78.12561521899795
4_0,6_0,-3.878211011205985,-21.214894136735904,-114.85471591133734
3_0,6_0,-157.06850756321333,-10.288866814157567,-145.92861380477333
4_1,9_1,-297.5919645696788,-296.53662449008607,-291.44172617368537
8_0,9_1,-297.75890955099896,-296.6927622630902,-291.5532053358355
5_1,9_1,-297.6502920791601,-296.6115165539165,-291.584948601146
3_1,9_1,-11.460521695016178,-296.99419913912067,-291.895085965584
