target_index,pixel_scale,FWHM,R_E,r_s_eff,N_pix_expected,A_expected,max_snr_expected,IC_joint_expected,N_pix,A,max_snr,IC_joint
52,0.1,0.4,0.4364160334677294,0.0934853180472605,238,2.3800000000000003,40.85752491073836,69.44072752205508,287,2.8700000000000006,42.09456941549091,83.73734789424289
53,0.1,0.4,0.6528717170701793,0.144770983506683,61,0.6100000000000001,9.882975753475035,17.193178916375576,110,1.1000000000000003,10.650851888082302,31.00409312789039
54,0.1,0.4,0.4440809804154264,0.0863373990283903,145,1.4500000000000002,13.96082465605894,46.61344828897882,183,1.8300000000000003,14.278334892657272,58.82938646126293
55,0.1,0.4,0.4637127502415048,0.6765751206194764,0,0.0,1.0632314167252783,0.0,43,0.4300000000000001,3.15700704235788,1.8419654792109263
56,0.1,0.4,0.3794909532726581,0.3477112230322782,16,0.16000000000000003,3.0689870540743867,1.091396906787302,66,0.6600000000000001,3.610562144476699,4.502012240497621
57,0.1,0.4,0.5553417815050143,0.4235226332645467,360,3.6000000000000005,24.533642522135665,29.503004331902847,409,4.090000000000001,24.687761951284156,33.51869103263407
58,0.1,0.4,0.4362995708838486,0.8910620206728699,1,0.010000000000000002,2.0140612743784354,0.030602497410504644,63,0.6300000000000001,3.734482848066603,1.9279573368617926
59,0.1,0.4,1.1243098028593224,0.2188327591853011,9,0.09000000000000002,2.1913763225078235,2.8899889873108564,108,1.0800000000000003,4.058646185932475,34.679867847730286
60,0.1,0.4,1.4017173533453249,0.5203061240239101,54,0.5400000000000001,5.626514210825273,9.092332088951299,120,1.2000000000000002,6.18203791183401,20.20518241989177
61,0.1,0.4,0.8741170091890503,0.4905887927990946,0,0.0,1.8374189798532434,0.0,78,0.7800000000000001,4.092056727784896,8.68613486966
62,0.1,0.4,0.9795433126301912,0.4751725440605854,67,0.6700000000000002,7.729644803462147,8.632311931549507,127,1.2700000000000002,9.398433768429998,16.362740526966977
63,0.1,0.4,1.2170301524245617,0.4574463734224382,1,0.010000000000000002,2.045293511013758,0.1662804406065143,82,0.8200000000000002,3.6687150127413766,13.634996129734173
64,0.1,0.4,0.641809684893677,0.286815932143362,0,0.0,1.0233275239556185,0.0,59,0.5900000000000001,3.154878126882836,8.251540266119095
65,0.1,0.4,1.184654838725748,0.2137015715484558,0,0.0,1.1009204326445539,0.0,58,0.5800000000000001,3.414424508429712,20.09519049983733
66,0.1,0.4,0.3372544503446484,0.1178074564729573,107,1.0700000000000003,95.08786490023274,19.14470615191969,149,1.4900000000000002,95.19031244457985,26.659450622766663
67,0.1,0.4,0.5757210006751813,0.1769716348215876,20,0.20000000000000004,3.1348101489549247,4.066477950375984,80,0.8000000000000002,4.677672682264618,16.265911801503936
